frame,id,cls,x1,y1,x2,y2,conf
5,5,car,727,344,818,407,0.8504042029380798
5,14,human,866,252,882,281,0.43162280321121216
6,9,car,746,262,792,312,0.7609949707984924
6,297,car,736,697,839,794,0.8800612092018127
6,302,car,608,452,704,516,0.8365331292152405
6,303,car,1084,602,1165,680,0.8741015195846558
6,304,car,1198,778,1352,880,0.8883985280990601
6,319,car,862,380,926,438,0.8638478517532349
6,3,car,546,363,652,420,0.8522453308105469
6,6,car,762,288,852,353,0.8203738927841187
6,7,car,763,282,808,326,0.7412295937538147
6,17,car,567,71,598,103,0.7466707825660706
6,37,human,809,169,826,196,0.5294346809387207
8,16,human,858,313,876,348,0.7092415690422058
8,1,car,961,593,1023,679,0.8704068064689636
9,202,human,716,422,832,540,0.7556014060974121
12,12,human,630,211,645,242,0.7557510733604431
12,33,human,854,119,863,138,0.6760925650596619
16,12,human,630,211,645,242,0.7557510733604431
16,33,human,854,119,864,138,0.6760925650596619
24,6,car,820,190,970,295,0.8678295612335205
25,797,car,943,368,1146,474,0.8983669877052307
25,6,car,807,199,952,295,0.8630197644233704
26,6,car,841,209,979,299,0.8708472847938538
26,803,car,946,543,1148,640,0.8748108148574829
26,808,car,112,166,188,267,0.8813075423240662
26,297,car,685,704,771,765,0.7631322741508484
26,302,car,587,446,755,557,0.8769984841346741
27,803,car,953,533,1247,676,0.9160584211349487
27,820,car,895,429,1130,569,0.8971090912818909
27,19,car,614,0,837,108,0.88067227602005
28,803,car,1012,533,1262,655,0.8824442028999329
28,820,car,983,418,1174,532,0.899475634098053
28,835,car,528,592,649,720,0.8832703828811646
28,840,car,1136,667,1305,765,0.8467190265655518
28,202,car,716,220,858,369,0.9143708944320679
29,17,human,527,56,564,100,0.7289034128189087
29,6,car,792,166,963,280,0.892042875289917
30,852,car,1080,5,1193,89,0.862859845161438
31,866,car,442,264,636,356,0.8648579716682434
31,867,car,455,190,610,277,0.8554911017417908
31,869,car,459,350,630,443,0.8870458602905273
31,870,car,432,446,638,542,0.8695538640022278
31,873,car,1116,135,1269,216,0.863292396068573
31,803,car,1183,561,1360,663,0.869300127029419
31,835,car,491,571,588,669,0.8869852423667908
31,6,car,782,189,974,329,0.887235164642334
32,866,car,437,294,619,381,0.8723361492156982
32,882,car,422,137,560,216,0.8695619106292725
32,886,car,293,674,732,765,0.8760362863540649
32,803,car,1209,567,1360,658,0.8632171750068665
32,835,car,466,553,570,655,0.8986341953277588
32,6,car,791,238,950,348,0.8615179657936096
32,204,car,786,410,950,588,0.8975726366043091
32,1,car,977,588,1105,764,0.8897821307182312
33,835,car,432,579,508,649,0.8115158677101135
33,1,car,957,632,1073,755,0.8624805212020874
34,922,car,582,718,664,765,0.6608861684799194
34,7,car,727,242,785,304,0.8736108541488647
34,808,car,114,163,154,208,0.8379188179969788
36,955,human,468,242,494,306,0.7777606248855591
36,967,human,448,238,476,304,0.770527720451355
36,5,human,796,325,890,403,0.8642905354499817
36,808,human,107,166,151,218,0.7771509289741516
37,174,human,892,333,998,462,0.8840463757514954
38,1094,human,765,383,817,467,0.8090991377830505
38,797,human,927,347,1168,485,0.8966519236564636
39,1114,human,449,14,464,51,0.695075273513794
39,1117,human,495,7,510,53,0.7175771594047546
39,840,human,1130,590,1360,765,0.8793742060661316
39,870,human,341,442,677,610,0.8025310039520264
39,1,human,986,642,1079,752,0.6156133413314819
40,1146,human,219,1,244,42,0.6528947949409485
40,1154,human,51,1,73,44,0.595879316329956
40,1156,human,100,0,120,40,0.7064862251281738
41,1168,human,1141,402,1215,554,0.8675462007522583
42,1187,human,802,107,837,197,0.8153338432312012
42,302,human,552,411,743,567,0.8287062644958496
42,204,human,779,401,912,560,0.8873627185821533
44,1243,human,416,248,438,306,0.7349318265914917
44,1244,human,95,193,128,254,0.7902212738990784
44,1248,human,327,240,349,295,0.6418975591659546
47,12,human,626,212,651,267,0.791132926940918
47,955,human,470,220,493,276,0.6523192524909973
47,967,human,436,249,462,311,0.8084510564804077
48,1563,human,227,210,242,233,0.6894816160202026
48,1571,human,211,271,246,332,0.7963786125183105
48,967,human,439,272,464,331,0.748047947883606
48,204,car,747,412,878,540,0.7078506350517273
48,1243,human,425,246,445,295,0.7913843393325806
49,1582,human,79,188,102,242,0.8112691044807434
49,808,human,85,156,121,203,0.7885704040527344
50,1621,human,538,218,572,274,0.7621005177497864
50,1625,human,506,196,525,248,0.8018099069595337
50,1636,human,237,107,254,147,0.6909806132316589
50,1664,human,508,144,531,188,0.7350659370422363
50,1669,human,316,108,333,146,0.71839839220047
50,1703,human,376,175,389,204,0.7149423956871033
50,1718,human,360,178,376,205,0.6691306829452515
50,1243,human,423,248,448,312,0.7964484691619873
51,1746,human,825,239,853,289,0.6780116558074951
51,1749,human,492,159,507,188,0.609610378742218
51,1763,human,816,244,834,280,0.6520636081695557
51,1243,human,425,238,448,296,0.7013895511627197
51,1244,human,96,188,117,228,0.5752003192901611
51,12,human,627,226,647,268,0.7053675651550293
51,967,human,442,287,464,336,0.7483352422714233
52,867,human,377,129,691,335,0.8220369815826416
54,867,car,387,38,734,273,0.6822701096534729
56,302,human,519,356,756,595,0.6481079459190369
57,204,human,642,361,818,563,0.8223826885223389
60,6,car,772,269,1012,474,0.8850406408309937
64,1243,car,445,257,459,286,0.6836666464805603
65,2081,human,526,427,543,470,0.7442473769187927
65,967,car,431,323,451,358,0.8446106314659119
66,967,car,435,314,457,350,0.8381016254425049
67,2178,car,375,442,432,537,0.9003100395202637
69,1117,human,498,0,508,27,0.7109639048576355
69,1718,human,361,170,378,199,0.5623403191566467
69,1244,human,83,154,103,190,0.6538887619972229
70,1248,car,325,242,349,276,0.7973365783691406
71,6,car,873,389,1006,480,0.8641694784164429
74,2577,car,869,198,923,239,0.8440846800804138
74,1625,car,517,202,539,258,0.8172220587730408
74,1664,car,506,135,538,193,0.8240143060684204
75,1621,car,550,235,566,256,0.8330471515655518
77,1248,car,329,247,346,266,0.4274933636188507
78,2880,car,485,261,493,274,0.8046005964279175
79,6,car,884,441,960,516,0.8514789342880249
